Mondo_ID,Disease_Name
MONDO_0000231,Far eastern spotted fever
MONDO_0000232,Flinders island spotted fever
MONDO_0000233,Japanese spotted fever
MONDO_0000234,Rickettsia parkeri spotted fever
MONDO_0000236,oropharyngeal anthrax
MONDO_0000239,adiaspiromycosis
MONDO_0000240,invasive aspergillosis
MONDO_0000241,Keshan disease
MONDO_0000242,tinea barbae
MONDO_0000243,ectothrix infectious disease
MONDO_0000244,endothrix infectious disease
MONDO_0000245,tinea imbricata
MONDO_0000248,dengue shock syndrome
MONDO_0000249,secretory diarrhea
MONDO_0000250,osmotic diarrheal disease
MONDO_0000251,diarrheal disease secondary to altered bowel motility
MONDO_0000252,inflammatory diarrhea
MONDO_0000253,piedra
MONDO_0000254,cutaneous mycosis
MONDO_0000255,subcutaneous mycosis
MONDO_0000256,systemic mycosis
MONDO_0000257,acute diarrhea
MONDO_0000259,asymptomatic dengue
MONDO_0000261,adenoiditis
MONDO_0000262,otomycosis
MONDO_0000263,laryngotracheitis
MONDO_0000265,aspiration pneumonia
MONDO_0000266,pulmonary aspergilloma
MONDO_0000270,lower respiratory tract disorder
MONDO_0000271,tuberculous salpingitis
MONDO_0000273,Kunjin virus infectous disease
MONDO_0000276,Powassan encephalitis
MONDO_0000282,Whitewater Arroyo hemorrhagic fever
MONDO_0000283,"Hantavirus hemorrhagic fever with renal syndrome, Seoul virus type"
MONDO_0000284,"Hantavirus hemorrhagic fever with renal syndrome, Puumala virus type"
MONDO_0000286,Epstein-Barr virus hepatitis
MONDO_0000288,polycystic echinococcosis
MONDO_0000290,primary amebic meningoencephalitis
MONDO_0000291,granulomatous amebic encephalitis
MONDO_0000292,philophthalmiasis
MONDO_0000293,coenurosis
MONDO_0000294,mesocestoidiasis
MONDO_0000295,acanthocephaliasis
MONDO_0000297,baylisascariasis
MONDO_0000298,dioctophymiasis
MONDO_0000299,thelaziasis
MONDO_0000301,ophthalmomyiasis
MONDO_0000302,basidiobolomycosis
MONDO_0000303,conidiobolomycosis
MONDO_0000304,penicilliosis
MONDO_0000306,trichosporonosis
MONDO_0000307,parasitic Ichthyosporea infectious disease
MONDO_0000308,primary systemic mycosis
MONDO_0000309,aniseikonia
MONDO_0000310,Alkhurma hemorrhagic fever
MONDO_0000313,hypophosphatemia
MONDO_0000314,primary bacterial infectious disease
MONDO_0000315,commensal bacterial infectious disease
MONDO_0000316,opportunistic bacterial infectious disease
MONDO_0000320,glandular tularemia
MONDO_0000321,typhoidal tularemia
MONDO_0000327,Buruli ulcer disease
MONDO_0000328,hyperphosphatemia
MONDO_0000330,endemic typhus
MONDO_0000331,Rickettsia helvetica spotted fever
MONDO_0000332,sennetsu fever
MONDO_0000333,early congenital syphilis
MONDO_0000334,multinodular goiter
MONDO_0000335,parenchymatous neurosyphilis
MONDO_0000336,meningovascular neurosyphilis
MONDO_0000337,exanthema subitum
MONDO_0000338,variola major infectious disease
MONDO_0000339,spinal polio
MONDO_0000340,bulbospinal polio
MONDO_0000341,paralytic poliomyelitis
MONDO_0000342,O'nyong'nyong fever
MONDO_0000343,Barmah forest virus disease
MONDO_0000344,Ross river fever
